7911,346,5.67
4444,952,4.55
4444,977,6.42
2531,233,8.87
4444,977,7.13
4532,346,7.06
4532,952,8.63
7911,233,5.16
2531,370,8.24
1561,977,4.62
835,299,9.65
2236,233,7.57
7911,233,5.94
2531,346,6.8
835,112,6.72
1561,370,8.05
1561,370,5.6
7911,445,6.91
835,233,9.3
7911,299,8.44
835,233,5.62
2531,743,7.21
1533,977,9.08
835,112,4.04
1561,299,8.62
1533,299,6.3
2236,952,9.72
7911,346,8.28
5886,112,5.32
4532,977,4.08
2236,743,7.62
2236,952,7.56
2236,370,7.95
4532,233,5.44
4532,299,8.08
4532,743,4.67
7911,346,6.01
7911,233,6.13
7911,977,8.34
5886,112,9.66
5886,743,5.97
5886,952,5.56
4444,233,4.48
4444,112,7.62
4444,977,8.97
1533,977,4.28
1533,299,8.55
1533,952,9.47
2531,112,9.11
2531,743,7.75
2531,370,7.28
1561,445,5.54
1561,952,6.34
1561,112,7.27
6532,977,9.08
6532,370,4.9
6532,743,4.44
835,233,5.01
835,977,5.02
835,977,6.46
2236,299,8.32
2236,370,4.34
2236,112,6.34
4532,743,9.37
4532,346,5.38
4532,299,6.51
7911,346,7.31
7911,743,6.02
7911,233,8.96
5886,299,6.68
5886,233,8.05
5886,233,5.23
4444,233,6.64
4444,112,6.14
4444,952,9.66
1533,445,7.19
1533,370,6.45
1533,370,5.09
2531,977,9.02
2531,370,7.77
2531,952,6.06
1561,346,4.09
1561,445,6.48
1561,743,7.29
6532,977,5.98
6532,299,6.85
6532,299,6.36
835,445,6.82
835,346,4.42
835,445,8.57
1000,233,7.65
1000,112,3.0
999,299,10.0
5,112,10.0
6,112,7.0
5,370,8.0
6,445,8.0
8327,112,10.0
8327,112,10.0
8327,112,10.0
5555,112,8.5
5555,112,8.5
123,112,9.0
123,112,9.0
1009,346,8.0
1005,445,7.0
