8289;9739;6.96
3442;7454;9.48
4840;4379;8.41
2716;1025;5.19
8289;7454;8.2
9222;1025;7.51
4840;4167;4.28
2716;9739;2.88
7108;7454;1.26
9222;4379;8.28
5376;9181;2.94
703;8607;7.61
4036;4980;2.35
9110;9580;4.15
622;1025;7.87
4036;9407;6.73
1060;7617;7.77
3683;4980;5.16
9110;2993;3.52
6221;1025;6.31
2716;1012;3.65
550;7454;5.95
550;3236;8.34
3591;4379;1.51
3442;2993;7.21
3442;4980;6.26
1060;7454;6.28
3442;2159;9.3
550;9580;6.53
3683;9739;6.88
3683;3236;5.01
7108;1012;7.88
9110;2159;6.99
677;5454;6.78
3683;8607;7.52
550;4980;2.61
9110;7454;5.86
7108;4759;2.93
677;4980;1.24
3442;4167;3.67
